id,name,category,primary,secondary,confidence,status
resource-doordash-using-ml-and-optimization-to-solve-dispat,DoorDash: Using ML and Optimization to Solve Dispatch,Platform Economics,vehicle-routing,ml-for-economists,high,success
resource-thumbtack-engineering-blog,Thumbtack Engineering Blog,Platform Economics,marketplace-design,network-effects,high,success
resource-applied-causal-inference-book-chernozhukov-et-al,Applied Causal Inference Book (Chernozhukov et al.),Causal Inference,causal-forests,,high,success
resource-openview-saas-pricing-guide,OpenView SaaS Pricing Guide,Pricing & Revenue,pricing-revenue,,high,success
resource-stitch-fix-algorithms-blog,Stitch Fix Algorithms Blog,Routing & Logistics,recsys,,high,success
resource-lost-statistics-causal-forest-tutorial,LOST Statistics: Causal Forest Tutorial,Causal Inference,causal-forests,,high,success
resource-andrew-ngs-deep-learning-specialization,Andrew Ng's Deep Learning Specialization,Deep Learning,ml-for-economists,,high,success
resource-stitch-fix-algorithms-tour,Stitch Fix: Algorithms Tour,Routing & Logistics,vehicle-routing,,high,success
resource-amazon-science,Amazon Science,Routing & Logistics,pricing-revenue,vehicle-routing,high,success
resource-doordash-next-generation-optimization-for-dasher-d,DoorDash: Next-Generation Optimization for Dasher Dispatch,Platform Economics,linear-programming,vehicle-routing,high,success
resource-uber-gaining-insights-in-a-simulated-marketplace,Uber: Gaining Insights in a Simulated Marketplace,Platform Economics,marketplace-design,agent-based-modeling,high,success
resource-ahead-of-ai-sebastian-raschka,Ahead of AI (Sebastian Raschka),Machine Learning,llms-rag,,high,success
resource-instacart-space-time-and-groceries,"Instacart: Space, Time and Groceries",Platform Economics,vehicle-routing,,high,success
resource-airbnb-engineering-two-sided-marketplace-matching,Airbnb Engineering: Two-Sided Marketplace Matching,Market Design & Matching,marketplace-design,,high,success
resource-walmart-global-tech,Walmart Global Tech,Routing & Logistics,vehicle-routing,,high,success
resource-netflix-round-2-causal-inference-survey-synthetic-,Netflix: Round 2 - Causal Inference Survey (Synthetic Control),Causal Inference,did-synth-control,,high,success
resource-marketing-analytics-uva-dardencoursera,Marketing Analytics (UVA Darden/Coursera),MarTech & Customer Analytics,ab-testing-foundations,clv-retention,high,success
resource-causal-inference-a-statistical-learning-approach,Causal Inference: A Statistical Learning Approach,Causal Inference,mixtape-resources,,high,success
resource-causal-wizard-reading-list,Causal Wizard Reading List,Causal Inference,mixtape-resources,,high,success
resource-instacart-no-order-left-behind;-no-shopper-left-id,Instacart: No Order Left Behind; No Shopper Left Idle,Platform Economics,marketplace-design,,high,success
resource-stitch-fix-market-matching-with-causalimpact,Stitch Fix: Market Matching with CausalImpact,Synthetic Control,did-synth-control,,high,success
resource-uber-dynamic-pricing-and-matching-in-ride-hailing,Uber: Dynamic Pricing and Matching in Ride-Hailing,Market Design & Matching,marketplace-design,pricing-revenue,high,success
resource-modeling-discrete-optimization-coursera,Modeling Discrete Optimization (Coursera),Convex Optimization,linear-programming,convex-optimization,high,success
resource-ward-whitts-papers-collection,Ward Whitt's Papers Collection,Operations Research,queueing-theory,,high,success
resource-jonathan-levins-revenue-equivalence-notes,Jonathan Levin's Revenue Equivalence Notes,Auction Theory,auction-theory,,high,success
resource-statsigs-cuped-deep-dive,Statsig's CUPED Deep Dive,Variance Reduction,variance-reduction,,high,success
resource-revenuecat-sub-club-subscription-analytics,RevenueCat Sub Club: Subscription Analytics,Growth & Retention,clv-retention,,high,success
resource-sqlbolt,SQLBolt,Programming,sql-tutorials,,high,success
resource-coding-for-economists,Coding for Economists,Programming,python-economists,,high,success
resource-growth-unhinged-saas-benchmarks-from-openview,Growth Unhinged: SaaS Benchmarks from OpenView,Growth & Retention,pricing-revenue,clv-retention,high,success
resource-clearcode-adtech-book,Clearcode AdTech Book,Frameworks & Strategy,auction-theory,,high,success
resource-eva-ascarza-retention-futility-research,Eva Ascarza: Retention Futility Research,Growth & Retention,clv-retention,,high,success
resource-mor-harchol-balters-papers,Mor Harchol-Balter's Papers,Operations Research,queueing-theory,,high,success
resource-automate-the-boring-stuff-with-python,Automate the Boring Stuff with Python,Programming,python-economists,,high,success
resource-freakonometrics-blog,Freakonometrics Blog,Insurance & Actuarial,insurance-actuarial,,high,success
resource-googles-recommendation-systems-course,Google's Recommendation Systems Course,Recommender Systems,recsys,,high,success
resource-coaching-actuaries,Coaching Actuaries,Insurance & Actuarial,insurance-actuarial,,high,success
resource-kuang-xu-newsletter,Kuang Xu Newsletter,Operations Research,tech-strategy,,high,success
resource-teconomics-machine-learning-meets-instrumental-var,Teconomics: Machine Learning Meets Instrumental Variables,Causal Inference,rdd-iv,,high,success
resource-tensorflow-recommenders-tutorials,TensorFlow Recommenders Tutorials,Recommender Systems,recsys,,high,success
resource-neil-hoyne-clv-focused-marketing,Neil Hoyne: CLV-Focused Marketing,Growth & Retention,clv-retention,,high,success
resource-uber-engineering-uplift-modeling-for-multiple-trea,Uber Engineering: Uplift Modeling for Multiple Treatments,Causal Inference,causal-forests,,high,success
resource-econtalk-hal-varian-on-technology,EconTalk: Hal Varian on Technology,Platform Economics,network-effects,marketplace-design,high,success
resource-langchain-academy-intro-to-langgraph,LangChain Academy: Intro to LangGraph,LLMs & Agents,llms-rag,,high,success
resource-convex-optimization-boyd-vandenberghe,Convex Optimization (Boyd & Vandenberghe),Convex Optimization,convex-optimization,,high,success
resource-olx-engineering-from-ranknet-to-lambdamart,OLX Engineering: From RankNet to LambdaMART,Search & Ranking,search-ranking,,high,success
resource-lennys-newsletter-consumer-marketing-measurement,Lenny's Newsletter: Consumer Marketing Measurement,Growth & Retention,product-metrics,clv-retention,high,success
resource-conformal-prediction-intervals-for-time-series,Conformal Prediction Intervals for Time Series,Specialized Methods,forecasting-dl,,high,success
resource-instacart-anytime-data-science-paradigm,Instacart Anytime: Data Science Paradigm,Production Systems,forecasting-dl,,high,success
resource-world-of-daas-susan-athey-tech-economists-and-ml,World of DaaS: Susan Athey - Tech Economists and ML,Causal Inference,ml-for-economists,,high,success
resource-kevin-hillstrom-minethatdata,Kevin Hillstrom: MineThatData,Growth & Retention,clv-retention,,high,success
resource-uber-forecasting-introduction,Uber: Forecasting Introduction,Production Systems,forecasting-dl,,high,success
resource-freecodecamp-rag-from-scratch,FreeCodeCamp: RAG from Scratch,LLMs & Agents,llms-rag,,high,success
resource-hal-varian-big-data-new-tricks-for-econometrics,Hal Varian: Big Data - New Tricks for Econometrics,Causal Inference,ml-for-economists,,high,success
resource-causal-inference-for-the-brave-and-true-time-serie,Causal Inference for the Brave and True: Time Series,Specialized Methods,did-synth-control,rdd-iv,high,success
resource-uber-driver-surge-pricing,Uber: Driver Surge Pricing,Pricing & Revenue,pricing-revenue,marketplace-design,high,success
resource-eppo-cuped++-for-extended-variance-reduction,Eppo: CUPED++ for Extended Variance Reduction,Variance Reduction,variance-reduction,,high,success
